Post_ID,Handle,Likes,Comments,Engagement,Hashtags,Post_Date,Sentiment_Score,Context
POST000020,@saas_76fhlf,54352,3289,57641,#DataScience #Tech #Python #CloudComputing #AI,18-09-2025,0.5458,Grateful for every one of you. Hit the link in bio for more!
POST000021,@data_0hq,75008,5909,80917,#MachineLearning #DevOps #OpenSource,07-03-2024,-0.0953,This is what most people get wrong about tech.
POST000022,@data_j1i,222312,11324,233636,#AI #Tech #MachineLearning #CloudComputing #Python,19-08-2024,-0.478,POV: You finally figured out tech. Life-changing.
POST000023,@style_hpa,19339,1526,20865,#FashionWeek #Sustainable #Streetwear,12-06-2024,0.9815,Grateful for every one of you. Hit the link in bio for more!
POST000024,@gym_awrh,23235,1197,24432,#Marathon #FitFam #HealthyLifestyle,04-11-2024,0.4852,This is what most people get wrong about fitness.
POST000025,@cloud_kxa,32251,609,32860,#CloudComputing #DevOps #SaaS #AI #Python,13-04-2025,0.0244,Day 82 of my journey — here's what I learned today.
POST000026,@code_rldg4h,160741,11481,172222,#MachineLearning #AI #Startup #Tech #OpenSource,21-05-2025,-0.5913,Excited to share this with you all! Drop your thoughts below 👇
POST000027,@gains_whef0,6122,394,6516,#CrossFit #FitnessMotivation #Yoga #WorkoutRoutine #Marathon #HealthyLifestyle,27-07-2024,0.4032,This is what most people get wrong about fitness.
POST000028,@fit_vabjoo,31855,1572,33427,#GymLife #Gains #FitnessMotivation #Marathon,12-03-2024,-0.0048,I tested this for 30 days. Here are the results 🔥
POST000029,@tech_s0u61,89583,3790,93373,#Startup #CloudComputing #SaaS #DevOps #AI,08-06-2025,0.8201,"Not sponsored, just genuinely love this. Here's my honest take."
POST000030,@tech_pwwu7,95721,7278,102999,#AI #SaaS #Startup #MachineLearning #CloudComputing,28-04-2025,-0.0673,"Not sponsored, just genuinely love this. Here's my honest take."
POST000031,@chef_9pbh,3085,114,3199,#Yummy #RecipeOfTheDay #Foodie,01-07-2025,0.8849,Grateful for every one of you. Hit the link in bio for more!
POST000032,@bite_y5k1,3217,225,3442,#Vegan #FoodPhotography #HomeCooking #EatLocal,14-04-2024,0.6706,This is what most people get wrong about food.
POST000033,@ai_plt,154222,8821,163043,#DataScience #MachineLearning #OpenSource #Python #Startup,13-04-2025,0.6206,"Your questions, answered! Deep dive in the caption."
POST000034,@voyage_h2oo,32841,1871,34712,#Explore #TravelPhotography #BudgetTravel,12-03-2024,-0.6272,This is what most people get wrong about travel.
POST000035,@trend_lmg,27502,276,27778,#Streetwear #OOTD #Vintage,16-04-2024,0.428,This is what most people get wrong about fashion.
POST000036,@saas_o39tt,19841,934,20775,#Startup #Tech #DataScience #DevOps #CloudComputing,11-11-2025,-0.3369,"Your questions, answered! Deep dive in the caption."
POST000037,@saas_4egw1t,110360,8048,118408,#SaaS #DevOps #Python #Startup #OpenSource,08-08-2025,0.109,This is what most people get wrong about tech.
POST000038,@vogue_37ko,23631,1481,25112,#StyleInspo #StyleTips #Streetwear #LuxuryFashion #Trending,12-10-2024,0.3676,Day 40 of my journey — here's what I learned today.
POST000039,@yummy_2yndu,4567,59,4626,#Foodie #MealPrep #FoodBlogger #HealthyEating #Yummy #FoodPhotography,27-12-2025,0.773,"Behind the scenes of my latest project. Real work, real results."
POST000040,@mode_n9np8p,45663,1455,47118,#LuxuryFashion #Trending #Sustainable #Vintage #StyleTips,27-12-2024,0.7808,Grateful for every one of you. Hit the link in bio for more!
POST000041,@vogue_2um,35599,1148,36747,#LuxuryFashion #OOTD #Sustainable #FashionBlogger #FashionWeek,30-06-2024,0.4345,This is what most people get wrong about fashion.
POST000042,@glam_ed9,109149,2553,111702,#StyleTips #FashionBlogger #StyleInspo,26-11-2024,0.315,"Your questions, answered! Deep dive in the caption."
POST000043,@gym_txp25m,2215,172,2387,#GymLife #FitFam #Marathon #CrossFit,16-10-2024,0.5407,This changed everything for me. Swipe to see the full story.
POST000044,@look_tpp5z,36007,1484,37491,#Vintage #FashionWeek #Sustainable,07-03-2024,0.3767,"Your questions, answered! Deep dive in the caption."
POST000045,@mode_45z,31628,1773,33401,#Trending #FashionBlogger #StyleInspo #Streetwear #OOTD #FashionWeek,13-04-2024,0.8987,Excited to share this with you all! Drop your thoughts below 👇
POST000046,@ai_65o5ib,46756,2084,48840,#Tech #DevOps #AI #OpenSource #Startup #Python,14-03-2025,0.1017,I tested this for 30 days. Here are the results 🔥
POST000047,@drift_g6ao4,10827,540,11367,#TravelBlogger #BudgetTravel #Backpacker #Adventure,03-12-2025,0.9529,Excited to share this with you all! Drop your thoughts below 👇
POST000048,@tech_46stj,42189,465,42654,#Tech #DevOps #Startup,31-08-2025,-0.9753,"Your questions, answered! Deep dive in the caption."
POST000049,@grind_qqu5a,58750,2473,61223,#HealthyLifestyle #Yoga #CrossFit #Gains,12-02-2025,-0.062,"Behind the scenes of my latest project. Real work, real results."
POST000050,@cloud_3lt6,288489,16220,304709,#OpenSource #Python #DataScience #DevOps #MachineLearning,22-03-2025,-0.8656,POV: You finally figured out tech. Life-changing.
POST000051,@cloud_7hmez,53380,2572,55952,#Python #Startup #DataScience #CloudComputing #MachineLearning,05-01-2025,-0.7227,Day 49 of my journey — here's what I learned today.
POST000052,@cloud_8oy9,133707,3401,137108,#AI #OpenSource #Startup #Tech #DevOps #MachineLearning,30-01-2025,-0.4382,This is what most people get wrong about tech.
POST000053,@glam_x32o,22549,732,23281,#FashionBlogger #OOTD #StyleTips,18-12-2025,0.0209,Day 54 of my journey — here's what I learned today.
POST000054,@globe_6wuum,4303,68,4371,#BudgetTravel #TravelBlogger #TravelPhotography,28-02-2024,-0.0969,POV: You finally figured out travel. Life-changing.
POST000055,@build_fk4yr0,317596,24497,342093,#DataScience #SaaS #CloudComputing #OpenSource #MachineLearning,12-02-2025,0.2049,POV: You finally figured out tech. Life-changing.
POST000056,@mode_yevk,85389,4154,89543,#Vintage #OOTD #StyleInspo,20-08-2024,0.8131,This is what most people get wrong about fashion.
POST000057,@build_emaj6x,87479,6379,93858,#SaaS #OpenSource #Python #Tech #MachineLearning,12-07-2025,-0.8446,This changed everything for me. Swipe to see the full story.
POST000058,@run_z3i3e,12904,934,13838,#Yoga #GymLife #WorkoutRoutine,10-01-2025,-0.5166,I tested this for 30 days. Here are the results 🔥
POST000059,@gym_wsk,19217,363,19580,#PersonalTrainer #WorkoutRoutine #Yoga #FitnessMotivation #CrossFit #FitFam,28-02-2025,0.3967,I tested this for 30 days. Here are the results 🔥
POST000060,@chef_3ij2kt,7551,131,7682,#RecipeOfTheDay #EatLocal #FoodPhotography,06-07-2024,0.4418,This is what most people get wrong about food.
POST000061,@mode_fe8e5,52671,3612,56283,#Vintage #Sustainable #LuxuryFashion,23-07-2025,0.0746,"Behind the scenes of my latest project. Real work, real results."
POST000062,@cloud_zg4,17148,1143,18291,#Python #DataScience #Tech #AI,28-08-2024,-0.0128,This is what most people get wrong about tech.
POST000063,@style_azv,32688,2408,35096,#StyleTips #FashionWeek #StyleInspo,06-08-2024,0.0958,I tested this for 30 days. Here are the results 🔥
POST000064,@glam_s57zpd,27308,658,27966,#Streetwear #FashionWeek #FashionBlogger #OOTD #Trending,21-01-2025,-0.1213,"Your questions, answered! Deep dive in the caption."
POST000065,@mode_mp669q,32688,795,33483,#Sustainable #LuxuryFashion #Vintage #StyleTips,12-07-2025,0.8028,"Your questions, answered! Deep dive in the caption."
POST000066,@ai_j1zw98,58765,3362,62127,#CloudComputing #SaaS #AI #Python,29-03-2024,0.1775,Day 87 of my journey — here's what I learned today.
POST000067,@build_3ma,9954,533,10487,#OpenSource #Startup #DataScience,02-10-2024,0.0767,"Your questions, answered! Deep dive in the caption."
POST000068,@saas_fc6ran,117895,6724,124619,#Startup #Python #DevOps #DataScience,23-11-2025,0.0627,"Not sponsored, just genuinely love this. Here's my honest take."
POST000069,@mode_797tc,66037,1024,67061,#Vintage #StyleInspo #StyleTips #Streetwear #Sustainable #LuxuryFashion,05-04-2024,-0.6895,This changed everything for me. Swipe to see the full story.
POST000070,@glam_x4xy,129504,7217,136721,#Streetwear #LuxuryFashion #StyleTips #Sustainable,13-09-2024,-0.8337,Day 50 of my journey — here's what I learned today.
POST000071,@cloud_123m,96937,3365,100302,#OpenSource #Python #DevOps #MachineLearning,05-02-2025,0.0136,Excited to share this with you all! Drop your thoughts below 👇
POST000072,@dev_9d0xm,94477,5913,100390,#CloudComputing #DataScience #DevOps #SaaS,31-12-2024,0.9587,"Behind the scenes of my latest project. Real work, real results."
POST000073,@foodie_a0x4,3421,211,3632,#Vegan #FoodPhotography #RecipeOfTheDay #HealthyEating #Foodie #FoodBlogger,23-01-2025,0.8126,Day 100 of my journey — here's what I learned today.
POST000074,@trend_270sq8,65189,4937,70126,#Sustainable #Vintage #StyleInspo #FashionBlogger #OOTD #LuxuryFashion,11-10-2024,0.5495,Grateful for every one of you. Hit the link in bio for more!
POST000075,@mode_7zpzr,27412,1289,28701,#OOTD #Streetwear #Sustainable #FashionBlogger,12-11-2024,0.4781,This is what most people get wrong about fashion.
POST000076,@dev_r4lb,360559,9728,370287,#DevOps #OpenSource #CloudComputing #Tech,15-08-2024,0.3066,Excited to share this with you all! Drop your thoughts below 👇
POST000077,@voyage_q1bc,6254,470,6724,#SoloTravel #DigitalNomad #TravelPhotography #TravelBlogger #Wanderlust #HiddenGems,12-12-2025,-0.656,"Your questions, answered! Deep dive in the caption."
POST000078,@tech_8303n,68080,3088,71168,#AI #DevOps #Tech #DataScience #Startup,31-01-2024,0.2761,Grateful for every one of you. Hit the link in bio for more!
POST000079,@roam_jz1o33,10890,224,11114,#TravelBlogger #BudgetTravel #SoloTravel,28-01-2025,-0.7233,I tested this for 30 days. Here are the results 🔥
POST000080,@globe_5jyssh,20006,1024,21030,#TravelPhotography #HiddenGems #Adventure #BudgetTravel #DigitalNomad #SoloTravel,19-10-2024,-0.7642,This changed everything for me. Swipe to see the full story.
POST000081,@grind_0bq1,17628,444,18072,#FitnessMotivation #GymLife #FitFam,01-04-2025,-0.2914,"Behind the scenes of my latest project. Real work, real results."
POST000082,@trend_105xur,1959,57,2016,#Vintage #Sustainable #StyleTips,07-06-2025,-0.2896,Grateful for every one of you. Hit the link in bio for more!
POST000083,@dev_od97e,168717,4254,172971,#SaaS #DevOps #DataScience #AI #OpenSource #CloudComputing,20-08-2025,0.2703,This is what most people get wrong about tech.
POST000084,@build_yxo8z,94712,1975,96687,#MachineLearning #CloudComputing #OpenSource #AI #SaaS #Startup,10-07-2025,-0.0751,I tested this for 30 days. Here are the results 🔥
POST000085,@saas_fwlgy,27761,1525,29286,#SaaS #OpenSource #DevOps #Startup,09-07-2025,-0.8104,"Not sponsored, just genuinely love this. Here's my honest take."
POST000086,@drift_kvzr,4170,293,4463,#TravelBlogger #Explore #Wanderlust #HiddenGems #DigitalNomad,22-06-2025,0.6196,Excited to share this with you all! Drop your thoughts below 👇
POST000087,@run_qgax,43166,2308,45474,#WorkoutRoutine #FitnessMotivation #Gains,01-12-2024,0.2416,Excited to share this with you all! Drop your thoughts below 👇
POST000088,@style_qc7,287581,20829,308410,#FashionWeek #Vintage #FashionBlogger #LuxuryFashion #Sustainable #Trending,14-07-2024,0.066,This changed everything for me. Swipe to see the full story.
POST000089,@wander_2he,4525,333,4858,#HiddenGems #DigitalNomad #Explore #Wanderlust #Adventure,24-01-2025,-0.2224,Day 65 of my journey — here's what I learned today.
POST000090,@gains_k8c9,23783,1011,24794,#GymLife #FitnessMotivation #FitFam #PersonalTrainer #HealthyLifestyle #Gains,09-12-2025,0.0951,"Behind the scenes of my latest project. Real work, real results."
POST000091,@saas_0mpy54,113421,7314,120735,#Tech #OpenSource #Python #AI,02-07-2025,0.0044,"Behind the scenes of my latest project. Real work, real results."
POST000092,@chef_fn0y26,2163,137,2300,#Vegan #HomeCooking #EatLocal #HealthyEating #FoodPhotography,14-10-2025,0.233,I tested this for 30 days. Here are the results 🔥
POST000093,@roam_6xkju,7447,580,8027,#TravelPhotography #SoloTravel #Explore #BudgetTravel #Backpacker,13-10-2024,0.1079,Excited to share this with you all! Drop your thoughts below 👇
POST000094,@trend_8bvd,12508,752,13260,#Streetwear #Vintage #StyleTips,28-11-2025,-0.2753,This changed everything for me. Swipe to see the full story.
POST000095,@grind_enm,3348,226,3574,#PersonalTrainer #FitFam #Gains #FitnessMotivation #Marathon #HealthyLifestyle,17-05-2024,0.0502,This is what most people get wrong about fitness.
POST000096,@sweat_4dq6,11941,141,12082,#Yoga #CrossFit #WorkoutRoutine #Gains #GymLife #HealthyLifestyle,04-01-2025,-0.8479,"Your questions, answered! Deep dive in the caption."
POST000097,@drift_ornl3,57504,2016,59520,#Wanderlust #HiddenGems #DigitalNomad #Explore,11-11-2024,0.6485,Excited to share this with you all! Drop your thoughts below 👇
POST000098,@cloud_uiw,42298,2976,45274,#Python #DevOps #CloudComputing #DataScience #Startup #AI,28-10-2024,0.1569,Day 54 of my journey — here's what I learned today.
POST000099,@chic_sldd,9378,564,9942,#Trending #Sustainable #StyleInspo #OOTD,07-04-2024,0.3612,"Not sponsored, just genuinely love this. Here's my honest take."
POST000100,@look_2bxs8,5335,56,5391,#StyleTips #FashionBlogger #StyleInspo,14-10-2024,-0.151,"Not sponsored, just genuinely love this. Here's my honest take."
POST000101,@saas_q63n,80694,2973,83667,#CloudComputing #DevOps #DataScience #OpenSource #Startup #SaaS,09-11-2025,-0.7832,This changed everything for me. Swipe to see the full story.
POST000102,@lift_opwc3,23281,625,23906,#FitFam #CrossFit #FitnessMotivation,25-09-2025,-0.9629,"Not sponsored, just genuinely love this. Here's my honest take."
POST000103,@saas_wwdx,135365,7548,142913,#DevOps #Tech #AI,07-07-2024,0.1652,I tested this for 30 days. Here are the results 🔥
POST000104,@gains_45q,4706,85,4791,#CrossFit #HealthyLifestyle #Gains #FitnessMotivation #WorkoutRoutine #PersonalTrainer,10-12-2024,0.8067,Grateful for every one of you. Hit the link in bio for more!
POST000105,@code_1pl1tk,23453,1327,24780,#DevOps #Startup #Python #CloudComputing,22-05-2025,-0.6118,"Not sponsored, just genuinely love this. Here's my honest take."
POST000106,@globe_y3nfx,26357,1883,28240,#SoloTravel #TravelPhotography #TravelBlogger,22-02-2024,-0.5387,POV: You finally figured out travel. Life-changing.
POST000107,@build_gnmby4,235819,16125,251944,#SaaS #OpenSource #DataScience #Startup,08-01-2024,0.7042,I tested this for 30 days. Here are the results 🔥
POST000108,@drift_1n6k,23253,1508,24761,#Wanderlust #Backpacker #HiddenGems #TravelBlogger,12-04-2025,0.8917,"Your questions, answered! Deep dive in the caption."
POST000109,@taste_4qp,8304,345,8649,#Yummy #FoodBlogger #Vegan,18-12-2025,0.5168,Excited to share this with you all! Drop your thoughts below 👇
POST000110,@sweat_bcq,4845,244,5089,#FitnessMotivation #PersonalTrainer #HealthyLifestyle #Marathon #CrossFit,09-05-2024,0.5775,POV: You finally figured out fitness. Life-changing.
POST000111,@cloud_it1,188362,9582,197944,#AI #OpenSource #Tech #Startup #DataScience,28-07-2025,0.5792,Grateful for every one of you. Hit the link in bio for more!
POST000112,@data_er5ob,120000,6574,126574,#Python #DevOps #MachineLearning #AI #CloudComputing,31-05-2024,-0.9249,This changed everything for me. Swipe to see the full story.
POST000113,@yummy_27hu,648,24,672,#FoodBlogger #FoodPhotography #HealthyEating #Foodie #MealPrep #EatLocal,09-06-2025,-0.62,"Not sponsored, just genuinely love this. Here's my honest take."
POST000114,@voyage_jze,18904,1154,20058,#Adventure #SoloTravel #DigitalNomad,17-10-2025,-0.1109,"Behind the scenes of my latest project. Real work, real results."
POST000115,@dev_a2cxo7,264913,10451,275364,#DataScience #OpenSource #Startup #Tech,24-07-2025,-0.3556,I tested this for 30 days. Here are the results 🔥
POST000116,@cook_w7t,6567,420,6987,#FoodPhotography #FoodBlogger #HealthyEating #HomeCooking,12-01-2024,-0.2712,"Behind the scenes of my latest project. Real work, real results."
POST000117,@look_c6wz8l,160882,1996,162878,#Vintage #StyleTips #Trending #FashionBlogger #Streetwear #StyleInspo,20-04-2024,0.9115,Grateful for every one of you. Hit the link in bio for more!
POST000118,@drift_qo17r,19739,1414,21153,#HiddenGems #SoloTravel #Wanderlust,05-09-2025,-0.9229,Day 12 of my journey — here's what I learned today.
POST000119,@sweat_kie,11970,255,12225,#HealthyLifestyle #Yoga #FitnessMotivation #PersonalTrainer #FitFam,08-02-2024,0.4011,"Not sponsored, just genuinely love this. Here's my honest take."
POST000120,@sweat_1x0umi,14503,582,15085,#HealthyLifestyle #CrossFit #WorkoutRoutine #Marathon #FitnessMotivation #GymLife,06-05-2024,-0.3781,Day 98 of my journey — here's what I learned today.
POST000121,@data_pwy,31035,2478,33513,#DataScience #DevOps #Startup #OpenSource #Tech #Python,20-08-2025,-0.5073,"Your questions, answered! Deep dive in the caption."
POST000122,@run_f1ai,52770,3434,56204,#Gains #Marathon #GymLife #FitnessMotivation,12-06-2025,-0.1486,POV: You finally figured out fitness. Life-changing.
POST000123,@chic_m8dsb,58216,4194,62410,#FashionWeek #FashionBlogger #Sustainable #StyleInspo,03-04-2025,0.9532,"Your questions, answered! Deep dive in the caption."
POST000124,@saas_4j1,278199,20612,298811,#CloudComputing #MachineLearning #DataScience #Python #DevOps #SaaS,05-04-2025,-0.0632,Grateful for every one of you. Hit the link in bio for more!
POST000125,@glam_auva,62585,1619,64204,#FashionWeek #Trending #Sustainable #Vintage #StyleTips #StyleInspo,28-02-2025,-0.7498,"Behind the scenes of my latest project. Real work, real results."
POST000126,@style_hz9plp,3743,231,3974,#FashionBlogger #LuxuryFashion #Streetwear #OOTD #Sustainable #Trending,30-07-2024,-0.7477,"Not sponsored, just genuinely love this. Here's my honest take."
POST000127,@fit_yuow,39604,1590,41194,#Yoga #Marathon #FitFam #CrossFit #GymLife,17-03-2025,0.9794,"Behind the scenes of my latest project. Real work, real results."
POST000128,@gains_hl2i,5136,341,5477,#CrossFit #Gains #GymLife #HealthyLifestyle #FitFam #WorkoutRoutine,22-06-2025,0.5483,This changed everything for me. Swipe to see the full story.
POST000129,@glam_10c9ix,22207,690,22897,#StyleTips #FashionBlogger #Streetwear,07-11-2024,0.0814,Excited to share this with you all! Drop your thoughts below 👇
POST000130,@fit_27ot,59611,3337,62948,#WorkoutRoutine #Gains #FitnessMotivation #GymLife #PersonalTrainer,27-05-2024,0.5149,"Behind the scenes of my latest project. Real work, real results."
POST000131,@code_7c0q,20368,1243,21611,#Startup #OpenSource #AI #Tech,25-02-2025,-0.4682,"Your questions, answered! Deep dive in the caption."
POST000132,@sweat_aqba,7624,417,8041,#HealthyLifestyle #PersonalTrainer #CrossFit #FitnessMotivation #Gains,15-10-2025,0.428,Day 9 of my journey — here's what I learned today.
POST000133,@ai_2zxgz,90311,6876,97187,#AI #DataScience #Tech #OpenSource #SaaS #MachineLearning,31-03-2024,-0.3606,"Behind the scenes of my latest project. Real work, real results."
POST000134,@fit_rv1,33815,1430,35245,#CrossFit #FitFam #Yoga #FitnessMotivation #PersonalTrainer,06-04-2025,-0.2514,POV: You finally figured out fitness. Life-changing.
POST000135,@drift_ula3,24841,1711,26552,#Wanderlust #SoloTravel #Explore #TravelPhotography #HiddenGems #Adventure,06-12-2025,0.8202,"Not sponsored, just genuinely love this. Here's my honest take."
POST000136,@code_eqh,281074,10043,291117,#DevOps #CloudComputing #Tech #SaaS #OpenSource,03-11-2024,-0.4245,This is what most people get wrong about tech.
POST000137,@trend_uc3qe,6322,462,6784,#LuxuryFashion #Vintage #StyleInspo #Sustainable,12-11-2024,-0.3295,POV: You finally figured out fashion. Life-changing.
POST000138,@glam_ank41p,162250,2207,164457,#Streetwear #StyleInspo #Vintage #OOTD #Sustainable #FashionBlogger,02-05-2024,-0.824,POV: You finally figured out fashion. Life-changing.
POST000139,@drift_lv724,108437,5566,114003,#DigitalNomad #HiddenGems #SoloTravel #Explore #Backpacker,22-04-2025,-0.875,Excited to share this with you all! Drop your thoughts below 👇
POST000140,@eat_vh5xva,12577,736,13313,#FoodBlogger #HealthyEating #Foodie #FoodPhotography #Vegan #EatLocal,12-12-2024,0.7636,POV: You finally figured out food. Life-changing.
POST000141,@sweat_939ayq,3199,248,3447,#WorkoutRoutine #Yoga #FitFam #FitnessMotivation #HealthyLifestyle,23-03-2024,-0.1092,Day 70 of my journey — here's what I learned today.
POST000142,@tech_scfnl5,19710,666,20376,#Tech #Startup #Python #MachineLearning #OpenSource #SaaS,22-06-2025,0.8534,This is what most people get wrong about tech.
POST000143,@grind_rej,2980,171,3151,#CrossFit #GymLife #Marathon #HealthyLifestyle #Gains #PersonalTrainer,20-04-2024,-0.7003,POV: You finally figured out fitness. Life-changing.
POST000144,@tech_ka6pu,238098,6361,244459,#SaaS #MachineLearning #DevOps #OpenSource #Startup,13-12-2024,-0.7997,POV: You finally figured out tech. Life-changing.
POST000145,@wander_dxg97,13634,944,14578,#DigitalNomad #Adventure #BudgetTravel #TravelPhotography #HiddenGems,18-01-2024,0.7675,"Your questions, answered! Deep dive in the caption."
POST000146,@voyage_nyu5l9,18097,637,18734,#DigitalNomad #Explore #TravelBlogger #Wanderlust,10-05-2024,-0.6397,POV: You finally figured out travel. Life-changing.
POST000147,@dev_bep7,97194,4433,101627,#Tech #SaaS #Startup,14-02-2025,-0.1688,Excited to share this with you all! Drop your thoughts below 👇
POST000148,@saas_bri,426985,16313,443298,#Startup #CloudComputing #Tech #SaaS #MachineLearning #Python,11-11-2025,0.816,Grateful for every one of you. Hit the link in bio for more!
POST000149,@vogue_1sgimd,17690,635,18325,#Streetwear #FashionBlogger #Vintage #FashionWeek,21-05-2024,-0.7062,Excited to share this with you all! Drop your thoughts below 👇
POST000150,@saas_27yh,88695,1756,90451,#DevOps #DataScience #Tech,28-06-2024,-0.6921,Day 39 of my journey — here's what I learned today.
POST000151,@chic_sr20ok,17325,652,17977,#FashionBlogger #FashionWeek #Sustainable,03-09-2025,0.7744,POV: You finally figured out fashion. Life-changing.
POST000152,@style_hhw,89503,5137,94640,#FashionWeek #StyleTips #StyleInspo #OOTD #Vintage,18-07-2025,-0.3484,"Behind the scenes of my latest project. Real work, real results."
POST000153,@foodie_asjjt5,4202,330,4532,#HomeCooking #HealthyEating #Vegan #FoodPhotography #MealPrep,31-08-2024,-0.4967,This changed everything for me. Swipe to see the full story.
POST000154,@cloud_h7mgwm,201231,2411,203642,#DevOps #AI #Startup #SaaS #CloudComputing,06-09-2024,0.6617,This is what most people get wrong about tech.
POST000155,@build_3c4p,62470,4560,67030,#AI #MachineLearning #Python,09-12-2024,-0.7995,Grateful for every one of you. Hit the link in bio for more!
POST000156,@build_0er6p9,16547,474,17021,#AI #Startup #Tech #OpenSource #SaaS #CloudComputing,06-04-2024,0.6425,"Behind the scenes of my latest project. Real work, real results."
POST000157,@tech_na91mn,156385,3877,160262,#CloudComputing #DevOps #DataScience #SaaS,21-12-2024,-0.0852,"Your questions, answered! Deep dive in the caption."
POST000158,@cloud_f12s49,79901,1499,81400,#Python #CloudComputing #DataScience #DevOps,18-02-2025,0.0994,I tested this for 30 days. Here are the results 🔥
POST000159,@grind_3f5l,53480,2224,55704,#WorkoutRoutine #Yoga #PersonalTrainer,21-06-2025,-0.5202,"Your questions, answered! Deep dive in the caption."
POST000160,@lift_iw6,13960,1076,15036,#WorkoutRoutine #HealthyLifestyle #FitnessMotivation #GymLife #Yoga,18-11-2024,-0.9057,"Your questions, answered! Deep dive in the caption."
POST000161,@fit_2g1,36495,1947,38442,#PersonalTrainer #FitnessMotivation #WorkoutRoutine #Gains,02-10-2025,0.9686,"Behind the scenes of my latest project. Real work, real results."
POST000162,@ai_hpkg,74882,5516,80398,#Startup #SaaS #OpenSource,21-01-2024,-0.4252,This is what most people get wrong about tech.
POST000163,@mode_14d,30999,1370,32369,#Streetwear #Trending #Vintage #StyleTips #FashionWeek,19-02-2025,-0.4815,Day 34 of my journey — here's what I learned today.
POST000164,@cloud_jpckzt,161839,11111,172950,#AI #SaaS #CloudComputing #Startup,22-04-2024,0.4258,This changed everything for me. Swipe to see the full story.
POST000165,@look_wl8v,74026,3551,77577,#LuxuryFashion #StyleTips #Vintage #StyleInspo #OOTD,04-05-2024,0.4854,Excited to share this with you all! Drop your thoughts below 👇
POST000166,@glam_0gah,26265,1442,27707,#Sustainable #FashionBlogger #LuxuryFashion,31-01-2025,-0.3357,Day 4 of my journey — here's what I learned today.
