Handle,Bio_Text,Category_ID,Follower_Count,Following_Count,Engagement_Rate,Engagement,Profile_Pic_URL
@dev_py6,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,500000,341,6.91,34550,https://pbs.twimg.com/profile_images/tech_1098/photo.jpg
@saas_nftu2,CTO & co-founder | Helping teams ship faster | DevOps & automation geek,CAT001,500000,797,10.17,50850,https://pbs.twimg.com/profile_images/tech_1099/photo.jpg
@run_wi6fqj,Yoga instructor | Mindful movement | Online classes available,CAT003,172789,978,5.79,10004,https://cdn.fitfluencer.com/profiles/fitness_1100.jpg
@vogue_6yfpmv,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,466077,9481,8.11,37798,https://instagram.fcdn.com/fashion_1101/profile.jpg
@drift_hnriu,Solo female traveler | Safety tips & inspiring journeys,CAT004,108212,2440,14.59,15788,https://static.wanderlust.io/profiles/travel_1102.jpg
@saas_9xj,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,1107017,1454,11.93,132067,https://pbs.twimg.com/profile_images/tech_1103/photo.jpg
@vogue_1i2hg,"Luxury lifestyle & fashion | Paris, Milan, NYC | DMs open for collabs",CAT002,481717,3735,16.94,81602,https://instagram.fcdn.com/fashion_1104/profile.jpg
@vogue_w6xl,Streetwear & sneaker culture | Drops every Tuesday,CAT002,311116,8552,17.07,53107,https://instagram.fcdn.com/fashion_1105/profile.jpg
@look_dk0g,Sustainable fashion advocate | Thrifted & curated looks,CAT002,410828,450,14.95,61418,https://instagram.fcdn.com/fashion_1106/profile.jpg
@taste_3j3r3,Restaurant reviewer | Honest takes | Your city food guide,CAT005,59749,2672,9.01,5383,https://cdn.foodieworld.com/users/food_1107/avatar.jpg
@build_f84,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,877678,2426,10.24,89874,https://pbs.twimg.com/profile_images/tech_1108/photo.jpg
@cloud_jen,Full-stack developer | React & Node.js | Building scalable products,CAT001,2213002,5131,6.29,139197,https://pbs.twimg.com/profile_images/tech_1109/photo.jpg
@voyage_dia5u,Solo female traveler | Safety tips & inspiring journeys,CAT004,317575,3553,11.19,35536,https://static.wanderlust.io/profiles/travel_1110.jpg
@build_xebb9,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,1740523,775,8.83,153688,https://pbs.twimg.com/profile_images/tech_1111/photo.jpg
@explore_nn8z,Solo female traveler | Safety tips & inspiring journeys,CAT004,192569,634,9.58,18448,https://static.wanderlust.io/profiles/travel_1112.jpg
@look_5x4w,"Luxury lifestyle & fashion | Paris, Milan, NYC | DMs open for collabs",CAT002,301185,3425,15.05,45328,https://instagram.fcdn.com/fashion_1113/profile.jpg
@bite_qin9n6,Restaurant reviewer | Honest takes | Your city food guide,CAT005,70204,578,7.52,5279,https://cdn.foodieworld.com/users/food_1114/avatar.jpg
@globe_883d,Luxury travel blogger | Hidden gems & 5-star experiences,CAT004,152665,1902,7.67,11709,https://static.wanderlust.io/profiles/travel_1115.jpg
@foodie_2ie,BBQ master | Grilling tips & smoker recipes | Weekends only,CAT005,175092,2857,7.12,12466,https://cdn.foodieworld.com/users/food_1116/avatar.jpg
@ai_3i12,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,1082863,1593,3.62,39199,https://pbs.twimg.com/profile_images/tech_1117/photo.jpg
@code_t2d5,CTO & co-founder | Helping teams ship faster | DevOps & automation geek,CAT001,1518379,1250,10.73,162922,https://pbs.twimg.com/profile_images/tech_1118/photo.jpg
@cook_vaje,Healthy meal prep guru | Clean eating made easy,CAT005,251997,442,4.87,12272,https://cdn.foodieworld.com/users/food_1119/avatar.jpg
@style_qnvqhw,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,246075,1282,9.36,23032,https://instagram.fcdn.com/fashion_1120/profile.jpg
@grind_cro,"Wellness coach | Holistic health | Mind, body & soul",CAT003,357275,4045,10.21,36477,https://cdn.fitfluencer.com/profiles/fitness_1121.jpg
@drift_6lf,Luxury travel blogger | Hidden gems & 5-star experiences,CAT004,193572,409,12.39,23983,https://static.wanderlust.io/profiles/travel_1122.jpg
@data_9tqvdz,Data scientist | ML researcher | Turning data into decisions,CAT001,500000,3213,8.62,43100,https://pbs.twimg.com/profile_images/tech_1123/photo.jpg
@roam_mqodpx,"Adventure seeker | Hiking, diving & camping across the globe",CAT004,118830,1669,11.97,14223,https://static.wanderlust.io/profiles/travel_1124.jpg
@build_ddp,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,1806603,1626,9.18,165846,https://pbs.twimg.com/profile_images/tech_1125/photo.jpg
@data_o57,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,1447913,568,8.01,115977,https://pbs.twimg.com/profile_images/tech_1126/photo.jpg
@saas_dsfr4,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,1748239,634,11.72,204893,https://pbs.twimg.com/profile_images/tech_1127/photo.jpg
@saas_3493,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,524291,1225,6.31,33082,https://pbs.twimg.com/profile_images/tech_1128/photo.jpg
@voyage_bj17m,Luxury travel blogger | Hidden gems & 5-star experiences,CAT004,130903,5317,17.22,22541,https://static.wanderlust.io/profiles/travel_1129.jpg
@cloud_fwb,Data scientist | ML researcher | Turning data into decisions,CAT001,1506347,1643,8.1,122014,https://pbs.twimg.com/profile_images/tech_1130/photo.jpg
@chic_nz1u,Fashion influencer | Styling tips & OOTDs daily | Brand collabs open,CAT002,375347,1736,13.04,48945,https://instagram.fcdn.com/fashion_1131/profile.jpg
@vogue_yjx,Streetwear & sneaker culture | Drops every Tuesday,CAT002,546141,274,9.87,53904,https://instagram.fcdn.com/fashion_1132/profile.jpg
@gains_1epk,"Wellness coach | Holistic health | Mind, body & soul",CAT003,302388,2808,9.42,28484,https://cdn.fitfluencer.com/profiles/fitness_1133.jpg
@look_bovak,Sustainable fashion advocate | Thrifted & curated looks,CAT002,680844,2151,13.84,94228,https://instagram.fcdn.com/fashion_1134/profile.jpg
@saas_erpet,Data scientist | ML researcher | Turning data into decisions,CAT001,1303346,1246,9.88,128770,https://pbs.twimg.com/profile_images/tech_1135/photo.jpg
@eat_c5ba7,Pastry chef | Baking tutorials | Dessert lover,CAT005,84828,1528,6.47,5488,https://cdn.foodieworld.com/users/food_1136/avatar.jpg
@chef_ko8g8q,Restaurant reviewer | Honest takes | Your city food guide,CAT005,313400,3134,5.43,17017,https://cdn.foodieworld.com/users/food_1137/avatar.jpg
@run_ivs,Marathon runner | Endurance training tips | Race day advice,CAT003,818939,1146,5.88,48153,https://cdn.fitfluencer.com/profiles/fitness_1138.jpg
@glam_2cwtg,Model & content creator | Haute couture to everyday glam,CAT002,421023,2395,16.95,71363,https://instagram.fcdn.com/fashion_1139/profile.jpg
@run_ifhv,"Wellness coach | Holistic health | Mind, body & soul",CAT003,135947,1208,8.51,11569,https://cdn.fitfluencer.com/profiles/fitness_1140.jpg
@vogue_quuy5x,Personal stylist | Helping you dress your best every day,CAT002,836149,205,10.13,84701,https://instagram.fcdn.com/fashion_1141/profile.jpg
@data_pqw2,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,1534488,3891,10.78,165417,https://pbs.twimg.com/profile_images/tech_1142/photo.jpg
@saas_qc3c54,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,1761123,2665,7.57,133317,https://pbs.twimg.com/profile_images/tech_1143/photo.jpg
@tech_6ugvs8,Product manager at a top tech unicorn | UX-driven | Growth hacking,CAT001,566093,5234,8.22,46532,https://pbs.twimg.com/profile_images/tech_1144/photo.jpg
@cook_9dxbz,Healthy meal prep guru | Clean eating made easy,CAT005,76543,541,8.49,6498,https://cdn.foodieworld.com/users/food_1145/avatar.jpg
@roam_nkomv,Backpacker on a budget | Hostels & local food lover,CAT004,69764,4616,12.75,8894,https://static.wanderlust.io/profiles/travel_1146.jpg
@taste_unj,Restaurant reviewer | Honest takes | Your city food guide,CAT005,94387,3277,4.68,4417,https://cdn.foodieworld.com/users/food_1147/avatar.jpg
@chic_ufm,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,172878,1977,18.48,31947,https://instagram.fcdn.com/fashion_1148/profile.jpg
@dev_uxlez,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,1460497,3387,6.53,95370,https://pbs.twimg.com/profile_images/tech_1149/photo.jpg
@yummy_al8m1,Street food explorer | Eating my way around the world,CAT005,80252,2913,7.36,5906,https://cdn.foodieworld.com/users/food_1150/avatar.jpg
@roam_k2s,Solo female traveler | Safety tips & inspiring journeys,CAT004,161609,506,18,29089,https://static.wanderlust.io/profiles/travel_1151.jpg
@data_vfgy,CTO & co-founder | Helping teams ship faster | DevOps & automation geek,CAT001,1343557,3047,3.34,44874,https://pbs.twimg.com/profile_images/tech_1152/photo.jpg
@data_8v12,Data scientist | ML researcher | Turning data into decisions,CAT001,2361770,4305,3.39,80064,https://pbs.twimg.com/profile_images/tech_1153/photo.jpg
@vogue_6gyup1,Model & content creator | Haute couture to everyday glam,CAT002,549295,1641,10.87,59708,https://instagram.fcdn.com/fashion_1154/profile.jpg
@mode_32ej,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,482106,3831,14.03,67639,https://instagram.fcdn.com/fashion_1155/profile.jpg
@explore_zse,Full-time traveler | 60+ countries | Budget travel hacks,CAT004,671455,5214,16.62,111595,https://static.wanderlust.io/profiles/travel_1156.jpg
@explore_3d63,"Adventure seeker | Hiking, diving & camping across the globe",CAT004,105717,748,10,10571,https://static.wanderlust.io/profiles/travel_1157.jpg
@cloud_i9nb7,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,1841110,612,6.73,123906,https://pbs.twimg.com/profile_images/tech_1158/photo.jpg
@gains_zezqac,Yoga instructor | Mindful movement | Online classes available,CAT003,173453,672,6.38,11066,https://cdn.fitfluencer.com/profiles/fitness_1159.jpg
@cloud_1ie,Data scientist | ML researcher | Turning data into decisions,CAT001,2358906,449,10.51,247921,https://pbs.twimg.com/profile_images/tech_1160/photo.jpg
@trend_c4rtwu,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,765772,1791,15.67,119996,https://instagram.fcdn.com/fashion_1161/profile.jpg
@tech_ioxd9,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,3078855,817,5.62,173031,https://pbs.twimg.com/profile_images/tech_1162/photo.jpg
@vogue_oqw,"Luxury lifestyle & fashion | Paris, Milan, NYC | DMs open for collabs",CAT002,810925,2777,14.53,117827,https://instagram.fcdn.com/fashion_1163/profile.jpg
@taste_m0w,BBQ master | Grilling tips & smoker recipes | Weekends only,CAT005,28789,1204,7.98,2297,https://cdn.foodieworld.com/users/food_1164/avatar.jpg
@chic_3g2qz,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,448329,1909,9.6,43039,https://instagram.fcdn.com/fashion_1165/profile.jpg
@dev_bh25ll,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,571472,1322,10.3,58861,https://pbs.twimg.com/profile_images/tech_1166/photo.jpg
@tech_k5bx,Full-stack developer | React & Node.js | Building scalable products,CAT001,645579,3093,7.26,46869,https://pbs.twimg.com/profile_images/tech_1167/photo.jpg
@cloud_06n9rr,Full-stack developer | React & Node.js | Building scalable products,CAT001,1203863,1143,10.19,122673,https://pbs.twimg.com/profile_images/tech_1168/photo.jpg
@fit_v3tlcx,Yoga instructor | Mindful movement | Online classes available,CAT003,172102,424,12.27,21116,https://cdn.fitfluencer.com/profiles/fitness_1169.jpg
@cloud_ymb5,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,909362,1362,8.42,76568,https://pbs.twimg.com/profile_images/tech_1170/photo.jpg
@saas_cwn,CTO & co-founder | Helping teams ship faster | DevOps & automation geek,CAT001,528712,2469,11.98,63339,https://pbs.twimg.com/profile_images/tech_1171/photo.jpg
@trend_bc2nnu,Personal stylist | Helping you dress your best every day,CAT002,1462763,332,9.71,142034,https://instagram.fcdn.com/fashion_1172/profile.jpg
@data_pcenl,Full-stack developer | React & Node.js | Building scalable products,CAT001,1702158,1512,9.11,155066,https://pbs.twimg.com/profile_images/tech_1173/photo.jpg
@tech_rnuj,Full-stack developer | React & Node.js | Building scalable products,CAT001,1168530,1094,11.64,136016,https://pbs.twimg.com/profile_images/tech_1174/photo.jpg
